求和项:pnl,列标签,,,,,,,,,,
行标签,Cn.Id807035.All_AN,Cn.Id807035.All_BN,Cn.Id807035.All_CN,Cn.Id807035.All_MN,CnCom.Id807035.CalArbAll2,CnCom.Id807035.CalArbAll2N,Id807035.MFA_T0_A,Id807035.MFA_T0_B,Id807035.MFA_T0_C,Id807035.MFA_T0_M,总计
2019/1/22,0,0,0,0,-516.489675,0,1070.605,4446.75485,-881.174775,0,4119.6954
2019/1/23,-485.525,-268.83905,-2193.520349,713.1334,-3747.418425,-1145.14,-6338.33,5177.59625,-2505.953295,-1005.839795,-11799.83626
2019/1/24,-1193.325,714.46345,-786.306488,-2656.80872,-5852.068425,-433.44,-5211.72,6089.98115,-3896.14592,-6801.245665,-20026.61562
2019/1/25,-6937.6875,-970.6228,673.677412,-2910.34647,-5892.379775,323.51,-8914.09,6259.5834,-266.47266,-4035.41028,-22670.23867
2019/1/28,-15629.2,-1103.35355,7733.677412,-6675.94647,-18079.10477,1224.495,-13549.855,-10840.43473,-3977.92412,-6819.525395,-67717.17162
2019/1/29,-9759.2,2733.71995,7970.59945,-2120.59975,-22616.67427,6870.035,-15755.055,-10158.73778,-11181.55792,-19899.54771,-73917.01803
2019/1/30,-9630.775,580.77245,8807.90945,-420.59975,-33171.45947,-6195.655,-12099.86,-6628.238675,-10163.95217,-23063.08386,-91984.94202
2019/1/31,-10434.8,1274.33705,11824.12115,3621.60025,-21964.12947,-7870.875,-13133.94,-4070.700775,-5616.128935,-25826.99424,-72197.50997
2019/2/1,-10434.8,1274.33705,11824.12115,3621.60025,-19565.54545,-7870.875,-11947.44,3990.603375,-10284.70588,-24188.52394,-63581.22844
2019/2/11,-12477.25,3032.19575,6750.68135,-8729.27303,-34457.33995,-4089.095,-9306.37,241.8406,-16979.52635,-29892.68241,-105906.819
2019/2/12,-9129,-625.74435,3228.60135,-7929.27303,-43936.35602,-1669.19,-22164.92,-7475.3967,-15291.60844,-38946.64081,-143939.528
2019/2/13,-11571.45,-958.87035,3530.6307,-6691.1075,-44252.01412,-6916.285,-27822.35,-11394.79288,-15552.78757,-37416.62579,-159045.6525
2019/2/14,-13583.2,7451.12965,4660.6307,1954.7925,-48467.15987,-9590.38,-23534.935,-5440.980675,-13064.50194,-39445.96262,-139060.5673
2019/2/15,-21124.95,9171.12965,-3299.0964,-1669.5075,-36483.07987,-17298.595,-25949.81,-1128.880675,-19556.97138,-31912.24875,-149252.0099
2019/2/18,-22177.4,-1979.46495,10684.1647,-14166.49345,-33164.54987,-20403.905,-15849.81,-3130.386225,-13681.01701,-34971.69167,-148840.5535
2019/2/19,-25827.4,-3696.19225,11614.1647,-15288.18553,-30141.28287,-18812.47,-19167.06,-2309.487725,-8370.27053,-37082.03834,-149080.2225
2019/2/20,-25827.4,-3696.19225,11614.1647,-15288.18553,-35392.50677,-18812.47,-17749.41,2166.348975,-7125.44023,-34429.43629,-144540.5274
2019/2/21,-24727.4,5623.80775,12169.81453,-17729.68553,-42284.91017,-25620.66,-25076.66,4281.868225,-13759.29435,-44422.14063,-171545.2602
2019/2/22,-21407.4,6303.80775,10980.49045,-17261.52643,-54255.66707,-23952.84,-22773.81,7143.553325,-14304.67841,-39206.05804,-168734.1284
2019/2/25,-8257.4,5272.51595,12791.31265,-18305.27328,-49229.38262,-14943.655,-22149.135,2858.309825,-22612.41538,-54134.98344,-168710.1063
2019/2/26,-3382.65,5819.4007,12744.54855,-19012.70626,-49374.90242,2920.29,-20933.51,7329.707125,-28522.58954,-61879.51028,-154291.9221
2019/2/27,-1320.925,7149.7355,9032.239894,-23792.57088,-50088.0187,5319.77,-30990.095,4699.981,-31531.45658,-60124.56028,-171645.9001
2019/2/28,-681.3,7515.1171,10258.81899,-23580.71163,-49870.90172,6685.27,-25250.56,6976.503,-34675.04774,-62670.29832,-165293.1103
2019/3/1,-2381.3,9785.1171,10118.21503,-18140.71163,-51647.63002,4306.77,-32213.52,8013.2486,-26190.30451,-63802.75432,-162152.8698
2019/3/4,3638.7,12225.1171,7097.516625,-15675.71163,-46618.97517,6784.145,-25834.72,6238.2028,-18075.93404,-56501.71845,-126723.3778
2019/3/5,12238.7,13917.1686,6787.516625,-11240.71163,-41138.97517,10413.395,-25186.07,2054.073375,-20041.32681,-52094.2002,-104290.4302
2019/3/6,19538.7,14287.1686,10946.85663,-11860.71163,-42351.60017,15929.645,-19468.82,6926.054475,-16853.2025,-51254.20093,-74160.11054
2019/3/7,22040.95,17837.5983,9987.410425,-13133.71163,-43353.54602,18559.145,-16389.92,4431.954475,-14514.019,-50525.26068,-65059.39914
2019/3/8,28460.95,20567.5983,6608.191025,-12950.37123,-46703.14602,11267.395,-5323.67,2239.280635,-11204.53469,-49217.48267,-56255.78966
2019/3/11,24400.95,25987.5983,3323.615625,-12048.72123,-58511.6573,12139.895,-4973.67,14969.03044,-16845.5945,-49239.48413,-60798.03781
2019/3/12,17112.75,23947.5983,5193.615625,-12642.62123,-55463.9073,1229.645,243.93,11667.85114,-18409.74243,-46217.94148,-73338.82238
2019/3/13,13787.125,25077.5983,6340.465625,-10396.54518,-49806.60505,18085.895,5672.73,10533.77113,-10385.87389,-49595.1415,-40686.58057
2019/3/14,14121.925,20967.9062,2999.622325,-6731.545185,-45722.76572,33627.52,14562.73,7183.208315,-15332.16965,-47602.30738,-21925.8761
2019/3/15,10409.925,23745.7254,3587.639325,-12802.22372,-38057.97785,38494.395,16690.5475,-692.69789,-21297.40492,-50032.24452,-29954.31668
2019/3/18,11082.225,22827.39705,7877.639325,-12591.40744,-43038.7122,49134.395,18446.4975,-1590.24105,-7468.904921,-53509.20091,-8830.312646
2019/3/19,13222.225,22317.39705,7647.639325,-14416.60744,-38936.52285,53849.145,21843.4475,1306.60655,-6150.021851,-52524.81491,8158.493374
2019/3/20,11150.225,15675.03544,4816.936925,-16345.50744,-42308.94885,41964.645,17754.1075,-7304.707795,-15956.10581,-56567.67597,-47121.996
2019/3/21,10505.025,13426.86564,3005.41395,-18020.55744,-43321.57385,40957.52,18069.5575,-12933.23772,-15655.73401,-61342.11496,-65308.83589
2019/3/22,6273.025,15556.86564,3577.69395,-15820.55744,-39361.69125,41132.27,13162.1825,-14037.43876,-15709.59226,-55721.76496,-60949.00757
