求和项:pnl,列标签,,,,,
行标签,SSE50_IdxSse50@QiuShi1@CnCom.Id807045.IhIfIcIdxL1@60511,SSE50_SgxCN@HongShang1@CnCom.Id807045.IhIfGlb_MRS@60115,SSE50_SgxCN@KaiYuan1@CnCom.Id807045.IhIfGlb_MRS@60115,SSE50_SgxCN@KangQian2@CnCom.Id807045.IhIfGlb_MRS@60115,SSE50_SgxCN@KangQianHuiChong6@CnCom.Id807045.IhIfGlb_MRS@60115,总计
2019/5/21,9539.480892,6485.664438,-356.117448,4364.975808,4104.306015,24138.30971
2019/5/22,11507.59883,4413.362178,-2181.830808,2857.818534,2353.025655,18949.97439
2019/5/23,20162.93641,14891.68467,5755.09449,9053.907759,11892.60044,61756.22376
2019/5/24,31314.90549,7009.27686,-843.106899,691.013088,6810.26907,44982.35761
2019/5/27,43146.54032,2659.15257,-975.467706,-1153.88367,6601.295163,50277.63667
2019/5/28,46838.37525,23307.82583,14261.69662,18697.09564,17698.35371,120803.3471
2019/5/29,51055.362,29523.14552,27191.06787,36546.17709,24142.67528,168458.4278
2019/5/30,59892.02021,35683.58338,32037.87755,47353.14814,31527.37034,206493.9996
总计,,,,,,
