ShengShi8,ShengShi8,Fund
ShengShi8*11220006,11220006,Account
ShengShi8*11220006*Id807035.MFA_T0_B,Id807035.MFA_T0_B,Strategy
ShengShi8*11220006*Id807035.MFA_T0_B*SQrb_SQhc@ShengShi8@Id807035.MFA@26219,SQrb_SQhc@ShengShi8@Id807035.MFA@26219,Trader
ShengShi8*11220006*Id807035.MFA_T0_B*SQhc_ZZTC@ShengShi8@Id807035.MFA@26218,SQhc_ZZTC@ShengShi8@Id807035.MFA@26218,Trader
ShengShi8*11220006*Id807035.MFA_T0_B*SQhc_ZZSM@ShengShi8@Id807035.MFA@26217,SQhc_ZZSM@ShengShi8@Id807035.MFA@26217,Trader
ShengShi8*11220006*Id807035.MFA_T0_B*DLj_DLjm@ShengShi8@Id807035.MFA@26211,DLj_DLjm@ShengShi8@Id807035.MFA@26211,Trader
ShengShi8*11220006*Id807035.MFA_T0_B*SQrb_ZZSF@ShengShi8@Id807035.MFA@26220,SQrb_ZZSF@ShengShi8@Id807035.MFA@26220,Trader
ShengShi8*11220006*Id807035.MFA_T0_B*DLi_ZZSF@ShengShi8@Id807035.MFA@26205,DLi_ZZSF@ShengShi8@Id807035.MFA@26205,Trader
ShengShi8*11220006*Id807035.MFA_T0_B*SQrb_ZZSM@ShengShi8@Id807035.MFA@26221,SQrb_ZZSM@ShengShi8@Id807035.MFA@26221,Trader
ShengShi8*11220006*Id807035.MFA_T0_B*ZZSF_ZZSM@ShengShi8@Id807035.MFA@26223,ZZSF_ZZSM@ShengShi8@Id807035.MFA@26223,Trader
ShengShi8*11220006*Id807035.MFA_T0_B*DLi_SQrb@ShengShi8@Id807035.MFA@26204,DLi_SQrb@ShengShi8@Id807035.MFA@26204,Trader
ShengShi8*11220006*Id807035.MFA_T0_B*DLj_SQrb@ShengShi8@Id807035.MFA@26213,DLj_SQrb@ShengShi8@Id807035.MFA@26213,Trader
ShengShi8*11220006*Id807035.MFA_T0_B*DLi_DLj@ShengShi8@Id807035.MFA@26201,DLi_DLj@ShengShi8@Id807035.MFA@26201,Trader
ShengShi8*11220006*Id807046.TtTf_All_V8L1,Id807046.TtTf_All_V8L1,Strategy
ShengShi8*11220006*Id807046.TtTf_All_V8L1*TT_TF@ShengShi8@Id807046.TtTf_All_V8L1@58202,TT_TF@ShengShi8@Id807046.TtTf_All_V8L1@58202,Trader
ShengShi8*11220006*Id807046.TtTf_All_V8L1*TF_TT@ShengShi8@Id807046.TtTf_All_V8L1@58201,TF_TT@ShengShi8@Id807046.TtTf_All_V8L1@58201,Trader
ShengShi8*11220006*Id807035.MFA_T0_A,Id807035.MFA_T0_A,Strategy
ShengShi8*11220006*Id807035.MFA_T0_A*DLa_DLp@ShengShi8@Id807035.MFA@26102,DLa_DLp@ShengShi8@Id807035.MFA@26102,Trader
ShengShi8*11220006*Id807035.MFA_T0_A*DLp_ZZOI@ShengShi8@Id807035.MFA@26108,DLp_ZZOI@ShengShi8@Id807035.MFA@26108,Trader
